NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,RESOURCE LINK
"britedge-container-vnet","Virtual network","BritEdge_DEV_RG","Italy North","Azure for Students","https://portal.azure.com#resource/subscriptions/1d7f1b24-3cc5-453c-a65e-967a617536b9/resourceGroups/BritEdge_DEV_RG/providers/Microsoft.Network/virtualNetworks/britedge-container-vnet"
"britedge-keyvault-gg","Key vault","BritEdge_DEV_RG","Germany West Central","Azure for Students","https://portal.azure.com#resource/subscriptions/1d7f1b24-3cc5-453c-a65e-967a617536b9/resourceGroups/BritEdge_DEV_RG/providers/Microsoft.KeyVault/vaults/britedge-keyvault-gg"
"BritEdgeRegistry","Container registry","BritEdge_DEV_RG","Germany West Central","Azure for Students","https://portal.azure.com#resource/subscriptions/1d7f1b24-3cc5-453c-a65e-967a617536b9/resourceGroups/BritEdge_DEV_RG/providers/Microsoft.ContainerRegistry/registries/BritEdgeRegistry"
"capp-svc-lb","Load balancer","ME_container-app-env-britedge_BritEdge_DEV_RG_italynorth","Italy North","Azure for Students","https://portal.azure.com#resource/subscriptions/1d7f1b24-3cc5-453c-a65e-967a617536b9/resourceGroups/ME_container-app-env-britedge_BritEdge_DEV_RG_italynorth/providers/Microsoft.Network/loadBalancers/capp-svc-lb"
"capp-svc-lb-ip","Public IP address","ME_container-app-env-britedge_BritEdge_DEV_RG_italynorth","Italy North","Azure for Students","https://portal.azure.com#resource/subscriptions/1d7f1b24-3cc5-453c-a65e-967a617536b9/resourceGroups/ME_container-app-env-britedge_BritEdge_DEV_RG_italynorth/providers/Microsoft.Network/publicIPAddresses/capp-svc-lb-ip"
"container-app-env-britedge","Container Apps Environment","BritEdge_DEV_RG","Italy North","Azure for Students","https://portal.azure.com#resource/subscriptions/1d7f1b24-3cc5-453c-a65e-967a617536b9/resourceGroups/BritEdge_DEV_RG/providers/Microsoft.App/managedEnvironments/container-app-env-britedge"
"container-user-identity","Managed Identity","BritEdge_DEV_RG","Italy North","Azure for Students","https://portal.azure.com#resource/subscriptions/1d7f1b24-3cc5-453c-a65e-967a617536b9/resourceGroups/BritEdge_DEV_RG/providers/Microsoft.ManagedIdentity/userAssignedIdentities/container-user-identity"
"ContainerAppMetricAlert","Metric alert rule","BritEdge_DEV_RG","Global","Azure for Students","https://portal.azure.com#resource/subscriptions/1d7f1b24-3cc5-453c-a65e-967a617536b9/resourceGroups/BritEdge_DEV_RG/providers/Microsoft.Insights/metricalerts/ContainerAppMetricAlert"
"jobschedule-app-britedge","Container App","BritEdge_DEV_RG","Italy North","Azure for Students","https://portal.azure.com#resource/subscriptions/1d7f1b24-3cc5-453c-a65e-967a617536b9/resourceGroups/BritEdge_DEV_RG/providers/Microsoft.App/containerApps/jobschedule-app-britedge"
"log-analytics-workspace-1","Log Analytics workspace","BritEdge_DEV_RG","Germany West Central","Azure for Students","https://portal.azure.com#resource/subscriptions/1d7f1b24-3cc5-453c-a65e-967a617536b9/resourceGroups/BritEdge_DEV_RG/providers/Microsoft.OperationalInsights/workspaces/log-analytics-workspace-1"
"MainAlertsAction","Action group","BritEdge_DEV_RG","Global","Azure for Students","https://portal.azure.com#resource/subscriptions/1d7f1b24-3cc5-453c-a65e-967a617536b9/resourceGroups/BritEdge_DEV_RG/providers/Microsoft.Insights/actiongroups/MainAlertsAction"
"NetworkWatcher_italynorth","Network Watcher","NetworkWatcherRG","Italy North","Azure for Students","https://portal.azure.com#resource/subscriptions/1d7f1b24-3cc5-453c-a65e-967a617536b9/resourceGroups/NetworkWatcherRG/providers/Microsoft.Network/networkWatchers/NetworkWatcher_italynorth"
"tfstate01britedge","Storage account","BritEdge_TFSTATE_RG","Germany West Central","Azure for Students","https://portal.azure.com#resource/subscriptions/1d7f1b24-3cc5-453c-a65e-967a617536b9/resourceGroups/BritEdge_TFSTATE_RG/providers/Microsoft.Storage/storageAccounts/tfstate01britedge"
"webapp-cosmosdb-account","Azure Cosmos DB account","BritEdge_DEV_RG","Germany West Central","Azure for Students","https://portal.azure.com#resource/subscriptions/1d7f1b24-3cc5-453c-a65e-967a617536b9/resourceGroups/BritEdge_DEV_RG/providers/Microsoft.DocumentDB/databaseAccounts/webapp-cosmosdb-account"
